"categoria","seq","escola","fav_ret","nao_fav_ret","apta"
"REDE MUNICIPAL","1","UME Alcides Lobo Viana, Dr.","10,38","89,62","Não"
"REDE MUNICIPAL","2","UME Andradas II, Dos","16,36","83,64","Não"
"REDE MUNICIPAL","3","UME Andradas, Dos","16,23","83,77","Não"
"REDE MUNICIPAL","4","UME Anízio Bento","10,99","89,01","Não"
"REDE MUNICIPAL","5","UME Antônio de Oliveira Passos Sobrinho, Profº","7,14","92,86","Não"
"REDE MUNICIPAL","6","UME Antonio Demóstenes de Souza Britto, Profº","23,17","76,83","Não"
"REDE MUNICIPAL","7","UME Auxiliadora da Instrução","13,08","86,92","Não"
"REDE MUNICIPAL","8","UME Avelino da Paz Vieira, Profº","20,00","80,00","Não"
"REDE MUNICIPAL","9","UME Ayrton Senna da Silva","10,00","90,00","Não"
"REDE MUNICIPAL","10","UME Barão do Rio Branco","14,11","85,89","Não"
"REDE MUNICIPAL","11","UME Candinha Ribeiro de Mendonça","7,14","92,86","Não"
"REDE MUNICIPAL","12","UME Cely de Moura Negrini, Profº","11,48","88,52","Não"
"REDE MUNICIPAL","13","UME Cidade de Santos","16,03","83,97","Não"
"REDE MUNICIPAL","14","UME Claudia Helena dos Santos Oliveira Correa","6,25","93,75","Não"
"REDE MUNICIPAL","15","UME Clóvis Bandeira Brasil, General","10,64","89,36","Não"
"REDE MUNICIPAL","16","UME Colégio Santista","19,69","80,31","Não"
"REDE MUNICIPAL","17","UME Cyro de Athayde Carneiro, Dr.","11,11","88,89","Não"
"REDE MUNICIPAL","18","UME Derosse José de Oliveira, Dr.","14,52","85,48","Não"
"REDE MUNICIPAL","19","UME Dino Bueno, Dr.","11,26","88,74","Não"
"REDE MUNICIPAL","20","UME Edméa Ladevig","10,43","89,57","Não"
"REDE MUNICIPAL","21","UME Elsa Virtuoso","7,69","92,31","Não"
"REDE MUNICIPAL","22","UME Emília Maria Reis, Profª","15,47","84,53","Não"
"REDE MUNICIPAL","23","UME Esmeraldo Tarquinio, Prefeito","18,60","81,40","Não"
"REDE MUNICIPAL","24","UME Eunice Caldas","15,15","84,85","Não"
"REDE MUNICIPAL","25","UME Fernando Costa, Dr.","11,54","88,46","Não"
"REDE MUNICIPAL","26","UME Flavio Cipriano Barbosa","4,76","95,24","Não"
"REDE MUNICIPAL","27","UME Florestan Fernandes, Profº","11,68","88,32","Não"
"REDE MUNICIPAL","28","UME Francisco Leite, Padre","11,67","88,33","Não"
"REDE MUNICIPAL","29","UME Gemma Rebelo","17,74","82,26","Não"
"REDE MUNICIPAL","30","UME Gota de Leite","23,02","76,98","Não"
"REDE MUNICIPAL","31","UME Hilda D’Onófrio Papa","0,00","100,00","Não"
"REDE MUNICIPAL","32","UME Hilda Rabaça","12,50","87,50","Não"
"REDE MUNICIPAL","33","UME Ilha Diana","0,00","100,00","Não"
"REDE MUNICIPAL","34","UME Iveta Mesquita Nogueira, Profª","30,14","69,86","Não"
"REDE MUNICIPAL","35","UME João Ignácio de Souza, Vereador","3,57","96,43","Não"
"REDE MUNICIPAL","36","UME João Papa Sobrinho, Profº","15,12","84,88","Não"
